"x","Freq"
"use",22307
"can",21101
"will",18220
"good",11709
"one",10747
"design",10053
"need",9374
"may",9002
"make",8546
"also",8273
"system",8141
"get",7888
"engineer",7685
"material",7526
"do",7347
"pressure",7228
"work",7026
"much",6849
"air",6702
"force",6599
"power",6495
"time",6367
"like",6297
"give",6227
"high",6135
"know",6064
"heat",5953
"water",5894
"energy",5834
"go",5765
"low",5678
"see",5621
"load",5540
"question",5474
"two",5390
"way",5343
"just",5279
"part",5215
"steel",5165
"change",5100
"point",5041
"2",4975
"temperature",4921
"small",4860
"case",4793
"little",4725
"require",4673
"think",4625
"find",4581
"different",4530
"flow",4493
"want",4448
"numb",4398
"build",4341
"example",4300
"problem",4260
"speed",4202
"model",4167
"answer",4134
"area",4090
"large",4036
"even",3992
"look",3958
"im",3928
"measure",3888
"take",3860
"increase",3802
"bridge",3761
"enough",3728
"result",3687
"mean",3651
"1",3625
"control",3600
"first",3571
"however",3554
"thing",3518
"cost",3491
"engine",3465
"vehicle",3427
"cause",3401
"standard",3375
"say",3346
"light",3322
"come",3293
"device",3275
"long",3254
"surface",3226
"assume",3202
"consider",3177
"many",3147
"pipe",3129
"end",3113
"start",3094
"weight",3068
"apply",3048
"base",3029
"fuel",3012
"motor",2991
"type",2972
"still",2958
